2026-03-22 13:53:09.325 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 89 at [y:665.0, x:1663.5] and corresponding myelinated axon 89 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:53:09.325 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 89 at [y:665.0, x:1663.5] and corresponding myelinated axon 89 have unexpected measure values for area attribute.
2026-03-22 13:53:09.331 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 91 at [y:262.0, x:1703.0] and corresponding myelinated axon 91 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:53:09.332 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 91 at [y:262.0, x:1703.0] and corresponding myelinated axon 91 have unexpected measure values for area attribute.
2026-03-22 13:53:09.341 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 93 at [y:666.5, x:1723.5] and corresponding myelinated axon 93 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:53:09.341 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 93 at [y:666.5, x:1723.5] and corresponding myelinated axon 93 have unexpected measure values for area attribute.
2026-03-22 13:53:09.345 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 94 at [y:737.5, x:1751.0] and corresponding myelinated axon 94 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:53:09.345 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 94 at [y:737.5, x:1751.0] and corresponding myelinated axon 94 have unexpected measure values for area attribute.
2026-03-22 13:53:09.459 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 112 at [y:432.0, x:2031.5] and corresponding myelinated axon 112 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:53:09.459 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 112 at [y:432.0, x:2031.5] and corresponding myelinated axon 112 have unexpected measure values for area attribute.
2026-03-22 13:53:10.517 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:363 - Morphometrics file: 03_axon_morphometrics.xlsx has been saved in the /Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis/data/macaque/data/sample3 directory
2026-03-22 13:53:12.191 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:219 - Logging initialized for morphometrics in "/Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis".
2026-03-22 13:53:12.191 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:220 - AxonDeepSeg v5.4.0 - 8972f83c028dc4393d84ed66af7d30d5e41ad593
2026-03-22 13:53:12.191 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:221 - Arguments: {'sizepixel': '0.009144', 'imgpath': ['/Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis/data/macaque/data/sample3/05.png'], 'filename': PosixPath('axon_morphometrics.xlsx'), 'axonshape': 'circle', 'colorize': False, 'unmyelinated': False, 'nerve': False, 'diameter_overlay': False}
2026-03-22 13:53:14.936 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 50 at [y:281.5, x:481.0] and corresponding myelinated axon 50 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:53:14.937 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 50 at [y:281.5, x:481.0] and corresponding myelinated axon 50 have unexpected measure values for area attribute.
2026-03-22 13:53:15.078 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 71 at [y:1883.5, x:735.5] and corresponding myelinated axon 71 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:53:15.078 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 71 at [y:1883.5, x:735.5] and corresponding myelinated axon 71 have unexpected measure values for area attribute.
2026-03-22 13:53:17.596 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:363 - Morphometrics file: 05_axon_morphometrics.xlsx has been saved in the /Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis/data/macaque/data/sample3 directory
2026-03-22 13:53:20.319 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:219 - Logging initialized for morphometrics in "/Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis".
2026-03-22 13:53:20.320 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:220 - AxonDeepSeg v5.4.0 - 8972f83c028dc4393d84ed66af7d30d5e41ad593
2026-03-22 13:53:20.320 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:221 - Arguments: {'sizepixel': '0.009144', 'imgpath': ['/Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis/data/macaque/data/sample4/01.png'], 'filename': PosixPath('axon_morphometrics.xlsx'), 'axonshape': 'circle', 'colorize': False, 'unmyelinated': False, 'nerve': False, 'diameter_overlay': False}
2026-03-22 13:53:22.485 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 2 at [y:515.3694723272354, x:189.44771795651732] and corresponding myelinated axon 2 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:53:22.491 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 2 at [y:515.3694723272354, x:189.44771795651732] and corresponding myelinated axon 2 have unexpected measure values for area attribute.
2026-03-22 13:53:22.496 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 3 at [y:1267.0, x:1.0] and corresponding myelinated axon 3 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:53:22.497 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 3 at [y:1267.0, x:1.0] and corresponding myelinated axon 3 have unexpected measure values for area attribute.
2026-03-22 13:53:22.499 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 4 at [y:1396.5, x:33.0] and corresponding myelinated axon 4 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:53:22.500 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 4 at [y:1396.5, x:33.0] and corresponding myelinated axon 4 have unexpected measure values for area attribute.
2026-03-22 13:53:22.502 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 5 at [y:1238.5, x:38.0] and corresponding myelinated axon 5 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:53:22.502 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 5 at [y:1238.5, x:38.0] and corresponding myelinated axon 5 have unexpected measure values for area attribute.
2026-03-22 13:53:22.506 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 6 at [y:1247.0, x:39.0] and corresponding myelinated axon 6 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:53:22.506 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 6 at [y:1247.0, x:39.0] and corresponding myelinated axon 6 have unexpected measure values for area attribute.
2026-03-22 13:53:22.579 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 8 at [y:177.5, x:68.0] and corresponding myelinated axon 8 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:53:22.580 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 8 at [y:177.5, x:68.0] and corresponding myelinated axon 8 have unexpected measure values for area attribute.
2026-03-22 13:53:22.607 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 16 at [y:2141.5, x:294.5] and corresponding myelinated axon 16 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:53:22.607 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 16 at [y:2141.5, x:294.5] and corresponding myelinated axon 16 have unexpected measure values for area attribute.
2026-03-22 13:53:22.724 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 27 at [y:997.0, x:455.5] and corresponding myelinated axon 27 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:53:22.725 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 27 at [y:997.0, x:455.5] and corresponding myelinated axon 27 have unexpected measure values for area attribute.
